SNo,lga,state,
1,Abadam,Borno State,
2,Abaji,FCT,
3,Abak,Akwa Ibom State,
4,Abakaliki,Ebonyi State,
5,Aba North,Abia State,
6,Aba South,Abia State,
7,Abeokuta North,Ogun State,
8,Abeokuta South,Ogun State,
9,Abi,Cross River State,
10,Aboh Mbaise,Imo State,
11,Abua/Odual,Rivers State,
12,Adavi,Kogi State,
13,Ado Ekiti,Ekiti State,
14,Ado-Odo/Ota,Ogun State,
15,Afijio,Oyo State,
16,Afikpo North,Ebonyi State,
17,Afikpo South,Ebonyi State,
18,Agaie,Niger State,
19,Agatu,Benue State,
20,Agwara,Niger State,
21,Agege,Lagos State,
22,Aguata,Anambra State,
23,Ahiazu Mbaise,Imo State,
24,Ahoada East,Rivers State,
25,Ahoada West,Rivers State,
26,Ajaokuta,Kogi State,
27,Ajeromi-Ifelodun,Lagos State,
28,Ajingi,Kano State,
29,Akamkpa,Cross River State,
30,Akinyele,Oyo State,
31,Akko,Gombe State,
32,Akoko-Edo,Edo State,
33,Akoko North-East,Ondo State,
34,Akoko North-West,Ondo State,
35,Akoko South-West,Ondo State,
36,Akoko South-East,Ondo State,
37,Akpabuyo,Cross River State,
38,Akuku-Toru,Rivers State,
39,Akure North,Ondo State,
40,Akure South,Ondo State,
41,Akwanga,Nasarawa State,
42,Albasu,Kano State,
43,Aleiro,Kebbi State,
44,Alimosho,Lagos State,
45,Alkaleri,Bauchi State,
46,Amuwo-Odofin,Lagos State,
47,Anambra East,Anambra State,
48,Anambra West,Anambra State,
49,Anaocha,Anambra State,
50,Andoni,Rivers State,
51,Aninri,Enugu State,
52,Aniocha North,Delta State,
53,Aniocha South,Delta State,
54,Anka,Zamfara State,
55,Ankpa,Kogi State,
56,Apa,Benue State,
57,Apapa,Lagos State,
58,Ado,Benue State,
59,Ardo Kola,Taraba State,
60,Arewa Dandi,Kebbi State,
61,Argungu,Kebbi State,
62,Arochukwu,Abia State,
63,Asa,Kwara State,
64,Asari-Toru,Rivers State,
65,Askira/Uba,Borno State,
66,Atakunmosa East,Osun State,
67,Atakunmosa West,Osun State,
68,Atiba,Oyo State,
69,Atisbo,Oyo State,
70,Augie,Kebbi State,
71,Auyo,Jigawa State,
72,Awe,Nasarawa State,
73,Awgu,Enugu State,
74,Awka North,Anambra State,
75,Awka South,Anambra State,
76,Ayamelum,Anambra State,
77,Aiyedaade,Osun State,
78,Aiyedire,Osun State,
79,Babura,Jigawa State,
80,Badagry,Lagos State,
81,Bagudo,Kebbi State,
82,Bagwai,Kano State,
83,Bakassi,Cross River State,
84,Bokkos,Plateau State,
85,Bakori,Katsina State,
86,Bakura,Zamfara State,
87,Balanga,Gombe State,
88,Bali,Taraba State,
89,Bama,Borno State,
90,Bade,Yobe State,
91,Barkin Ladi,Plateau State,
92,Baruten,Kwara State,
93,Bassa,Kogi State,
94,Bassa,Plateau State,
95,Batagarawa,Katsina State,
96,Batsari,Katsina State,
97,Bauchi,Bauchi State,
98,Baure,Katsina State,
99,Bayo,Borno State,
100,Bebeji,Kano State,
101,Bekwarra,Cross River State,
102,Bende,Abia State,
103,Biase,Cross River State,
104,Bichi,Kano State,
105,Bida,Niger State,
106,Billiri,Gombe State,
107,Bindawa,Katsina State,
108,Binji,Sokoto State,
109,Biriniwa,Jigawa State,
110,Birnin Gwari,Kaduna State,
111,Birnin Kebbi,Kebbi State,
112,Birnin Kudu,Jigawa State,
113,Birnin Magaji/Kiyaw,Zamfara State,
114,Biu,Borno State,
115,Bodinga,Sokoto State,
116,Bogoro,Bauchi State,
117,Boki,Cross River State,
118,Boluwaduro,Osun State,
119,Bomadi,Delta State,
120,Bonny,Rivers State,
121,Borgu,Niger State,
122,Boripe,Osun State,
123,Bursari,Yobe State,
124,Bosso,Niger State,
125,Brass,Bayelsa State,
126,Buji,Jigawa State,
127,Bukkuyum,Zamfara State,
128,Buruku,Benue State,
129,Bungudu,Zamfara State,
130,Bunkure,Kano State,
131,Bunza,Kebbi State,
132,Burutu,Delta State,
133,Bwari,FCT,
134,Calabar Municipal,Cross River State,
135,Calabar South,Cross River State,
136,Chanchaga,Niger State,
137,Charanchi,Katsina State,
138,Chibok,Borno State,
139,Chikun,Kaduna State,
140,Dala,Kano State,
141,Damaturu,Yobe State,
142,Damban,Bauchi State,
143,Dambatta,Kano State,
144,Damboa,Borno State,
145,Dandi,Kebbi State,
146,Dandume,Katsina State,
147,Dange Shuni,Sokoto State,
148,Danja,Katsina State,
149,Dan Musa,Katsina State,
150,Darazo,Bauchi State,
151,Dass,Bauchi State,
152,Daura,Katsina State,
153,Dawakin Kudu,Kano State,
154,Dawakin Tofa,Kano State,
155,Degema,Rivers State,
156,Dekina,Kogi State,
157,Demsa,Adamawa State,
158,Dikwa,Borno State,
159,Doguwa,Kano State,
160,Doma,Nasarawa State,
161,Donga,Taraba State,
162,Dukku,Gombe State,
163,Dunukofia,Anambra State,
164,Dutse,Jigawa State,
165,Dutsi,Katsina State,
166,Dutsin Ma,Katsina State,
167,Eastern Obolo,Akwa Ibom State,
168,Ebonyi,Ebonyi State,
169,Edati,Niger State,
170,Ede North,Osun State,
171,Ede South,Osun State,
172,Edu,Kwara State,
173,Ife Central,Osun State,
174,Ife East,Osun State,
175,Ife North,Osun State,
176,Ife South,Osun State,
177,Efon,Ekiti State,
178,Egbado North,Ogun State,
179,Egbado South,Ogun State,
180,Egbeda,Oyo State,
181,Egbedore,Osun State,
182,Egor,Edo State,
183,Ehime Mbano,Imo State,
184,Ejigbo,Osun State,
185,Ekeremor,Bayelsa State,
186,Eket,Akwa Ibom State,
187,Ekiti,Kwara State,
188,Ekiti East,Ekiti State,
189,Ekiti South-West,Ekiti State,
190,Ekiti West,Ekiti State,
191,Ekwusigo,Anambra State,
192,Eleme,Rivers State,
193,Emuoha,Rivers State,
194,Emure,Ekiti State,
195,Enugu East,Enugu State,
196,Enugu North,Enugu State,
197,Enugu South,Enugu State,
198,Epe,Lagos State,
199,Esan Central,Edo State,
200,Esan North-East,Edo State,
201,Esan South-East,Edo State,
202,Esan West,Edo State,
203,Ese Odo,Ondo State,
204,Esit Eket,Akwa Ibom State,
205,Essien Udim,Akwa Ibom State,
206,Etche,Rivers State,
207,Ethiope East,Delta State,
208,Ethiope West,Delta State,
209,Etim Ekpo,Akwa Ibom State,
210,Etinan,Akwa Ibom State,
211,Eti Osa,Lagos State,
212,Etsako Central,Edo State,
