LGA NAME,WARD NAME
ABIA NORTH,EZIAMA
,INDUSTRIAL AREA
,OSUSU I
,OSUSU II
,ST. EUGENES BY OKIGWE RD
,URATTA
,OLD ABA GRA
,UMUOLA
,ARIARIA MARKET
,OGBOR I
,OGBOR II
,UMUOGOR
,
ABA SOUTH,EZIUKWU
,ASA
,ENYIAMA
,NGWA
,OHAZU I
,OHAZU II
,IGWEBUIKE
,EKEOHA
,GLOUCHESTER
,MOSQUE
,ABA RIVER
,ABA TOWN HALL
,
AROCHUKWU,OVUKWU
,OHAEKE
,OHAFOR I
,OHAFOR II
,AROCHUKWU I
,AROCHUKWU II
,IKWUN IHECHIOWA
,ELEOHA IHECHIOWA
,UTUTU
,ISU
,AROCHUKWU III
,
BENDE,AMINKALU/AKOLIUFU
,BENDE
,UGWUEKE/EZEUKWU
,IGBERE ‘A’
,IGBERE ‘B’
,ITEM ‘A’
,ITEM ‘B’
,ITEM ‘C’
,ITUMBAUZO
,OZUITEM
,UMUHU/EZECHI
,UMU-IMENYI
,UZUAKOLI
,
IKWUANO,OLOKO I
,OLOKO II
,IBERE I
,IBERE II
,OBORO I
,OBORO II
,OBORO III
,OBORO IV
,ARIAM
,USAKA
,
ISIALA NGWA NORTH,AMASAA NSULU
,UMUNNA NSULU
,ISIALA NSULU
,NGWA UKWU II
,NGWA UKWU I
,IJIE
,AMASAA NTIGHA
,AMAPU NTIGHA
,UMUOHA
,MBAWSI/UMUOMA INTA
,
ISIALA NGWA SOUTH,AMAISE/AMAISE AIYABA
,NGWAOBI
,MBUTU UKWU
,MBUTU NGWA
,EHI NA GURU OSOKWA
,AKUNEKPU EZIAMA
,NA OBUBA
,OVUNGWU
,OVUOKWU
,OKPORO AHABA
,
ISUIKWUATO,IMENYI
,EZERE
,ISIALA-AMAWU
,ISU-AMAWU
,OGUDUASA
,UMUNNEKWU
,ACHARA/MBAUGWU
,IKEAGHA I
,IKEAGHA II
,UMUANYI/ABSU
,
OBINGWA,ABAYI I
,ABAYI II
,MGBOKO UMUANUNU
,MGBOKO ITUN GWA
,AHIABA
,MGBOKO AMAIRI
,ALAUKWU OHANZE
,AKUMAIMO
,NDIAKATA/AMAIRINABUA
,NTIGHAUZO AMAIRI
,IBEME
,
OHAFIA,ISAMA OHAFIA
,EBEM OHAFIA
,NDI ELU NKPORO
,NDI ETITI NKPORO
,AMAEKE ABIRIBA
,AMAOGUDU ABIRIBA
,AGBOJI ABIRIBA
,OHAFOR OHAFIA
,OKAMU OHAFIA
,ANIA OHAFIA
,NDI AGBO NKPORO
,
OSISIOMA,AMAVO
,AMAITOLU-MBUTU UMUOJIMA
,AMASATOR
,ARO-NGWA
,AMA-ASAA
,OSO-OKWA
,URATTA
,AMATOR
,UMUNNEISE
,OKPU-UMUOBO
,
UGWUNAGBO,WARD ONE
,WARD TWO
,WARD THREE
,WARD FOUR
,WARD FIVE
,WARD SIX
,WARD SEVEN
,WARD EIGHT
,WARD NINE
,WARD TEN
,
UKWA EAST,IKWURIATOR EAST
,IKURIATOR WEST
,AZUMINI
,UMUIGUBE ACHARA
,AKWETE
,OBOHIA
,IKWUEKE EAST
,IKWUEKE WEST
,NKPOROBE/OHURU
,IKWUORIE
,
