city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Lagos,6.4550,3.3841,Nigeria,NG,Lagos,minor,16637000,16637000
Kano,12.0000,8.5167,Nigeria,NG,Kano,admin,3848885,3848885
Abuja,9.0667,7.4833,Nigeria,NG,Federal Capital Territory,primary,3770000,107169
Ibadan,7.3964,3.9167,Nigeria,NG,Oyo,admin,3552000,2550593
Port Harcourt,4.8242,7.0336,Nigeria,NG,Rivers,admin,1865000,1005904
Aba,5.1167,7.3667,Nigeria,NG,Abia,minor,1530000,1160000
Onitsha,6.1667,6.7833,Nigeria,NG,Anambra,minor,1483000,1483000
Maiduguri,11.8333,13.1500,Nigeria,NG,Borno,admin,1197497,1197497
Benin City,6.3333,5.6222,Nigeria,NG,Edo,admin,1147188,1147188
Shagamu,6.8333,3.6500,Nigeria,NG,Ogun,minor,1132270,1132270
Ikare,7.5167,5.7500,Nigeria,NG,Ondo,minor,1099931,1099931
Ogbomoso,8.1333,4.2500,Nigeria,NG,Oyo,minor,1032000,1032000
Owerri,5.4833,7.0333,Nigeria,NG,Imo,admin,908109,908109
Ikeja,6.6186,3.3426,Nigeria,NG,Lagos,admin,861300,861300
Osogbo,7.7667,4.5667,Nigeria,NG,Osun,admin,731000,731000
Agege,6.6219,3.3258,Nigeria,NG,Lagos,minor,459939,459939
Sokoto,13.0622,5.2339,Nigeria,NG,Sokoto,admin,427760,427760
Somolu,6.5408,3.3872,Nigeria,NG,Lagos,minor,403569,403569
Nnewi,6.0167,6.9167,Nigeria,NG,Anambra,minor,391227,391227
Ilesa,7.6167,4.7167,Nigeria,NG,Osun,minor,384334,384334
Minna,9.6139,6.5569,Nigeria,NG,Niger,admin,322163,322163
Apapa,6.4500,3.3667,Nigeria,NG,Lagos,minor,217362,217362
Bida,9.0804,6.0100,Nigeria,NG,Niger,minor,173849,173849
Ilobu,7.8400,4.4860,Nigeria,NG,Osun,minor,118097,118097
Ajegunle,6.4406,3.3515,Nigeria,NG,Lagos,minor,,
Oshodi,6.5550,3.3436,Nigeria,NG,Lagos,minor,,
Ifako,6.6442,3.3249,Nigeria,NG,Lagos,minor,,
Surulere,6.5015,3.3581,Nigeria,NG,Lagos,minor,,
Mushin,6.5333,3.3500,Nigeria,NG,Lagos,minor,,
Ebute-Metta,6.4722,3.3806,Nigeria,NG,Lagos,minor,,
Ojota,6.5781,3.3869,Nigeria,NG,Lagos,minor,,
Ikotun,6.5443,3.2638,Nigeria,NG,Lagos,minor,,
Makera,10.4714,7.4103,Nigeria,NG,Kaduna,minor,,
Umundugba,5.6760,7.0718,Nigeria,NG,Imo,minor,,
Ojo,6.4612,3.1647,Nigeria,NG,Lagos,minor,,
Okrika,4.7400,7.0830,Nigeria,NG,Rivers,minor,,
Uselu,6.3843,5.6098,Nigeria,NG,Edo,minor,,
Kpor,4.6526,7.2840,Nigeria,NG,Rivers,minor,,
Neni,6.0951,7.0243,Nigeria,NG,Anambra,minor,,
Ozubulu,5.9500,6.8333,Nigeria,NG,Anambra,minor,,
Festac Town,6.4697,3.2830,Nigeria,NG,Lagos,minor,,
Buguma,4.7333,6.8667,Nigeria,NG,Rivers,minor,,
Hadejia,12.4349,10.0527,Nigeria,NG,Jigawa,minor,,
Amaigbo,5.7302,7.1151,Nigeria,NG,Imo,minor,,
Ungogo,12.0917,8.4953,Nigeria,NG,Kano,minor,,
Ikoyi,6.4525,3.4358,Nigeria,NG,Lagos,minor,,
Effurun,5.5563,5.7846,Nigeria,NG,Delta,minor,,
Dikenafai,5.7701,7.1547,Nigeria,NG,Imo,minor,,
Kumbotso,11.8900,8.5030,Nigeria,NG,Kano,minor,,
Nnenasa,5.7326,7.0136,Nigeria,NG,Imo,minor,,
Ojoto,6.0584,6.8612,Nigeria,NG,Anambra,minor,,
Rumuodomaya,4.8933,7.0023,Nigeria,NG,Rivers,minor,,
Itu,5.4640,7.3310,Nigeria,NG,Imo,minor,,
Afor-Oru,5.5411,7.2684,Nigeria,NG,Imo,minor,,
Isinweke,5.6205,7.3499,Nigeria,NG,Imo,minor,,
Ogu,4.7225,7.1986,Nigeria,NG,Rivers,minor,,
Nchia,4.7931,7.1206,Nigeria,NG,Rivers,minor,,
Egbeda,7.3772,4.0498,Nigeria,NG,Oyo,minor,,
Ukpo,6.2141,6.9666,Nigeria,NG,Anambra,minor,,
Abagana,6.1833,6.9833,Nigeria,NG,Anambra,minor,,
Suleja,9.1806,7.1794,Nigeria,NG,Niger,minor,,
